DateTime,Open,High,Low,Close,Volume
20171006 14:00:00.000,1.16978,1.17388,1.16840,1.17314,38157807000
20171006 15:00:00.000,1.17315,1.17384,1.17188,1.17328,25915946000
20171006 16:00:00.000,1.17328,1.17359,1.17231,1.17238,13438087000
20171006 17:00:00.000,1.17239,1.17347,1.17239,1.17324,8869237000
20171006 18:00:00.000,1.17324,1.17350,1.17254,1.17337,8120371000
20171006 19:00:00.000,1.17337,1.17354,1.17300,1.17328,7484098000
20171006 20:00:00.000,1.17328,1.17374,1.17318,1.17345,4881731000
20171008 21:00:00.000,1.17353,1.17391,1.17324,1.17373,795900000
20171008 22:00:00.000,1.17374,1.17416,1.17331,1.17392,4309140000
20171008 23:00:00.000,1.17393,1.17435,1.17379,1.17425,2629321000
20171009 00:00:00.000,1.17425,1.17441,1.17352,1.17368,3360954000
20171009 01:00:00.000,1.17367,1.17437,1.17317,1.17358,4042023000
20171009 02:00:00.000,1.17358,1.17475,1.17358,1.17412,3088019000
20171009 03:00:00.000,1.17411,1.17425,1.17358,1.17363,1790924000
20171009 04:00:00.000,1.17363,1.17392,1.17344,1.17355,2210001000
20171009 05:00:00.000,1.17355,1.17370,1.17325,1.17368,3286368000
20171009 06:00:00.000,1.17367,1.17412,1.17234,1.17273,5848154000
20171009 07:00:00.000,1.17272,1.17306,1.17196,1.17280,7288177000
20171009 08:00:00.000,1.17279,1.17411,1.17250,1.17356,6833750000
20171009 09:00:00.000,1.17356,1.17453,1.17334,1.17435,5165079000
20171009 10:00:00.000,1.17436,1.17465,1.17398,1.17454,3364607000
20171009 11:00:00.000,1.17453,1.17479,1.17398,1.17467,4835502000
20171009 12:00:00.000,1.17467,1.17471,1.17373,1.17386,5080775000
20171009 13:00:00.000,1.17386,1.17399,1.17310,1.17311,4991711000
20171009 14:00:00.000,1.17312,1.17391,1.17251,1.17379,7668049000
20171009 15:00:00.000,1.17379,1.17465,1.17362,1.17427,6338105000
20171009 16:00:00.000,1.17428,1.17558,1.17418,1.17496,9042474000
20171009 17:00:00.000,1.17496,1.17552,1.17469,1.17512,5017083000
20171009 18:00:00.000,1.17511,1.17527,1.17471,1.17494,3786672000
20171009 19:00:00.000,1.17495,1.17561,1.17485,1.17513,5258417000
20171009 20:00:00.000,1.17513,1.17515,1.17389,1.17404,2540214000
20171009 21:00:00.000,1.17400,1.17423,1.17394,1.17411,934757000
20171009 22:00:00.000,1.17411,1.17438,1.17393,1.17412,3817089000
20171009 23:00:00.000,1.17413,1.17431,1.17402,1.17411,1689809000
20171010 00:00:00.000,1.17411,1.17489,1.17405,1.17486,5145932000
