Model_Name,Features_Type,Model_State,Dataset_Columns,Date_Start,Date_Finish,Total_Time,Epochs Total,Epochs Completed,Valid_Loss,Valid_MAE,Valid_RMSE
model_2_RNN1_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 12:23:21.962726,2025-03-29 12:26:58.777908,0 days 00:03:36.815182,200,24,4.061577419633977e-05,0.0070756571367383,0.0090128546580672
model_3_RNN32_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 12:26:58.793531,2025-03-29 12:56:04.853807,0 days 00:29:06.060276,200,200,2.97616861644201e-06,0.0017602498410269,0.0024397412780672
model_4_LSTM32_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 12:56:04.862398,2025-03-29 13:45:54.450535,0 days 00:49:49.588137,200,200,2.0102172584302025e-06,0.0014025496784597,0.0020051021128892
model_5_GRU32_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 13:45:54.461983,2025-03-29 14:05:41.518815,0 days 00:19:47.056832,200,64,1.7310253497271333e-06,0.0013333577662706,0.0018606586381793
model_1_Dense1_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 14:05:42.119828,2025-03-29 14:07:07.940270,0 days 00:01:25.820442,200,21,0.0024886003229767,0.0651654377579689,0.0705492794513702
model_2_RNN1_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 14:07:07.955778,2025-03-29 14:17:09.050597,0 days 00:10:01.094819,200,67,4.847643594985129e-06,0.0021760591771453,0.0031137256883084
model_3_RNN32_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 14:17:09.063502,2025-03-29 14:46:06.298340,0 days 00:28:57.234838,200,200,3.283841806478449e-06,0.0016840940807014,0.0025627491995692
model_4_LSTM32_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 14:46:06.315816,2025-03-29 15:09:28.535564,0 days 00:23:22.219748,200,88,3.960485173593042e-06,0.0021039056591689,0.0028144218958914
model_5_GRU32_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-29 15:09:28.535564,2025-03-29 16:12:06.466577,0 days 01:02:37.931013,200,200,1.47427078900364e-06,0.0012581254122778,0.0017171318177133
model_5_GRU32_univar1_out1,univar,loaded,['Close'],2025-03-30 10:26:47.247461,2025-03-30 10:36:48.703570,0 days 00:10:01.456109,300,32,1.344191105090431e-06,0.0011240269523113,0.001639628666453
model_5_GRU32_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-30 10:36:48.729420,2025-03-30 10:46:24.920413,0 days 00:09:36.190993,300,31,1.2984806971871876e-06,0.0011326518142595,0.001611509011127
model_5_GRU32_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-30 10:46:24.935893,2025-03-30 11:50:57.808401,0 days 01:04:32.872508,300,205,1.2875207175966352e-06,0.0011441059177741,0.001604693592526
model_4_LSTM32_univar1_out1,univar,loaded,['Close'],2025-03-30 11:50:57.819620,2025-03-30 11:59:27.530765,0 days 00:08:29.711145,300,32,1.8669271639737417e-06,0.0013359723379835,0.0019323184387758
model_5_GRU32_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-30 11:59:27.543670,2025-03-30 12:31:52.425524,0 days 00:32:24.881854,300,101,1.6785380694273044e-06,0.0012986079091206,0.0018322325777262
model_4_LSTM32_multivar5_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-30 12:31:52.438537,2025-03-30 13:53:09.131285,0 days 01:21:16.692748,300,300,1.7796038491724175e-06,0.0013096428010612,0.0018865863094106
model_3_RNN32_univar1_out1,univar,loaded,['Close'],2025-03-30 13:53:09.145515,2025-03-30 14:37:30.948825,0 days 00:44:21.803310,300,300,1.4069819371798076e-06,0.0011643262114375,0.0016774873947724
model_4_LSTM32_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-30 14:37:30.963988,2025-03-30 14:48:16.724937,0 days 00:10:45.760949,300,39,2.4311771085194778e-06,0.0015912844100967,0.0022050747647881
model_2_RNN1_multivar2_out1,multivar,loaded,"['Close', 'Volume']",2025-03-30 14:48:16.751712,2025-03-30 14:53:13.410752,0 days 00:04:56.659040,300,31,2.833496637322241e-06,0.0017072247574105,0.0023805447854101
model_3_RNN32_multivar11_out1,multivar,loaded,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow', 'DayOfWeek_Friday', 'DayOfWeek_Monday', 'DayOfWeek_Sunday', 'DayOfWeek_Thursday', 'DayOfWeek_Tuesday', 'DayOfWeek_Wednesday']",2025-03-30 14:53:13.426379,2025-03-30 15:40:16.797102,0 days 00:47:03.370723,300,300,2.246772737635183e-06,0.0014215478440746665,0.002119798446074128
